sentiment-bertmulti,sentiment-textblob,sentiment-vader
3.0,0.025,0.0
2.0,0.14285714285714285,0.0
2.0,0.0,0.3977
2.0,0.18186274509803924,0.9792
3.0,0.0,-0.128
1.0,0.1,0.0
4.0,0.225,0.3818
5.0,1.0,0.807
3.0,0.0,0.0
4.0,0.4,0.4939
3.0,0.21428571428571427,-0.4215
2.0,0.4,0.0
5.0,0.015000000000000003,-0.2023
2.0,-0.03766233766233767,-0.8481
3.0,0.2,0.5267
4.0,0.0,0.7096
2.0,0.35,0.4588
2.0,0.15666666666666665,0.7227
3.0,0.3,0.3818
4.0,-0.2,0.4767
3.0,0.19999999999999998,-0.4497
3.0,0.019999999999999997,-0.3182
3.0,0.225,0.0
3.0,0.10434027777777778,0.5536
5.0,-0.2,-0.5267
3.0,-0.1,0.0
4.0,-0.2125,-0.3818
5.0,0.0,0.7717
2.0,0.11222222222222222,0.879
4.0,0.5,0.0
4.0,0.15999999999999998,0.3384
4.0,0.13964714714714715,0.9934
4.0,0.5,-0.7031
5.0,0.14305555555555555,0.7351
2.0,-0.04285714285714285,-0.6661
5.0,-0.024999999999999994,-0.5994
4.0,0.49333333333333335,0.6908
3.0,0.1,-0.7351
2.0,0.25,-0.5859
1.0,-0.057499999999999996,-0.2732
2.0,0.0,-0.2732
2.0,-0.016666666666666666,-0.3182
3.0,0.0,0.0
1.0,0.0725,0.128
1.0,-0.17500000000000002,0.5908
3.0,0.0,0.0772
1.0,0.04066666666666667,0.4738
3.0,0.11666666666666665,0.8778
2.0,0.2,-0.7501
5.0,0.11875,-0.296
5.0,0.16327160493827161,0.714
3.0,-0.06770833333333334,-0.1901
5.0,-0.008333333333333331,-0.296
2.0,0.02812500000000001,0.7506
4.0,0.1361111111111111,0.8349
3.0,0.1990740740740741,0.8266
2.0,-0.004391804070112889,0.7165
2.0,0.016666666666666653,0.9676
5.0,0.15,0.0546
4.0,0.275,-0.5574
5.0,0.13749999999999998,-0.8975
3.0,0.07244897959183673,0.6901
5.0,-0.06597222222222222,0.0752
2.0,0.1261574074074074,0.4767
5.0,0.21999999999999997,0.8834
5.0,-0.05000000000000001,0.9006
5.0,0.1611111111111111,0.4767
2.0,0.175,0.6124
2.0,-0.13968253968253969,-0.8356
5.0,0.07678571428571428,0.4645
4.0,0.1047453703703704,0.8326
5.0,0.0,-0.6808
2.0,0.0837820512820513,0.6898
4.0,0.11916666666666667,0.5346
4.0,0.0,-0.5994
2.0,-0.025,-0.1779
3.0,-0.1875,0.4417
5.0,0.2516233766233766,0.9245
3.0,0.0,-0.4767
1.0,-0.1875,0.0
2.0,0.05277777777777776,0.8802
4.0,0.0775,0.5423
4.0,-0.1625,-0.2263
5.0,0.2375,0.7845
5.0,0.35331439393939396,0.9715
2.0,0.03333333333333333,0.0
4.0,0.6,0.0
4.0,0.16785714285714287,0.8292
2.0,0.08541666666666667,-0.7498
2.0,0.020833333333333332,-0.659
3.0,-0.0625,0.1513
3.0,0.26666666666666666,0.7579
3.0,0.004761904761904745,0.8481
4.0,0.09523809523809523,0.7269
2.0,0.12016184573002757,0.9386
4.0,0.25,0.7096
3.0,0.12546897546897545,0.9134
3.0,-0.06666666666666667,-0.1986
4.0,0.025223214285714293,0.4767
2.0,0.10138888888888888,0.2983
4.0,0.15,0.5106
5.0,0.10476190476190476,0.34
5.0,0.22000000000000003,0.3697
5.0,-0.002777777777777777,-0.1889
4.0,0.16796343537414968,0.9799
5.0,0.6,0.8885
2.0,0.016666666666666666,0.0
2.0,0.625,0.1511
2.0,0.07333333333333333,-0.1761
1.0,0.0,0.0
4.0,0.028333333333333332,-0.2828
3.0,0.5,0.8262
4.0,-0.09687499999999999,0.8271
4.0,0.7,0.5106
2.0,0.0,-0.7645
1.0,0.340625,0.9578
2.0,0.0,0.3612
2.0,-0.0625,0.4503
2.0,0.04,0.2547
5.0,0.20833333333333334,0.8458
3.0,0.019345238095238092,0.1655
2.0,0.3666666666666667,-0.4989
2.0,0.0,0.4019
2.0,-0.12142857142857144,0.6019
2.0,0.28611111111111115,0.4964
4.0,-0.16666666666666666,0.3612
5.0,0.0,0.0
2.0,-0.13333333333333333,-0.4019
2.0,0.0,0.0
2.0,0.7,0.4404
4.0,0.1461538461538462,0.5981
5.0,0.0,0.0
5.0,0.875,0.6996
1.0,0.0,-0.1007
2.0,-0.5,0.0
3.0,0.0,0.4215
3.0,-0.15,0.5499
3.0,0.55,0.765
5.0,-0.15555555555555556,0.0
3.0,0.4,0.4678
2.0,0.0,0.0
5.0,-0.17777777777777778,0.0
2.0,-0.039999999999999994,-0.8321
2.0,-0.125,0.0132
3.0,-0.13333333333333333,0.4767
4.0,0.11875,0.6249
2.0,0.13055555555555556,0.6946
5.0,0.2,0.0
3.0,0.2125,0.658
5.0,0.019791666666666666,0.659
5.0,0.5,0.4576
5.0,0.6,0.5598
2.0,0.07678571428571426,-0.5598
5.0,-0.14375,0.7391
3.0,0.2,0.2263
4.0,0.24453125000000003,0.8999
3.0,0.0,0.4215
4.0,0.33906250000000004,0.5372
2.0,0.5,0.6808
3.0,0.0,0.2584
3.0,0.09375,0.5574
2.0,0.2,-0.2003
5.0,0.0,-0.3182
4.0,0.23809523809523808,0.8121
5.0,0.0,0.7871
2.0,0.0,-0.3071
3.0,0.0,0.0258
5.0,0.125,-0.3489
3.0,0.08333333333333333,0.4295
3.0,0.19374999999999998,-0.3412
4.0,0.48333333333333334,0.7096
3.0,0.5083333333333333,0.5267
1.0,0.2,0.4902
5.0,0.1,-0.1513
2.0,-0.20000000000000004,-0.505
2.0,0.11577380952380951,0.8822
2.0,-0.029166666666666674,-0.7144
4.0,-0.3,0.0
1.0,-0.16666666666666666,-0.0387
4.0,0.35,0.4404
5.0,0.0,0.8614
1.0,-0.03035714285714286,-0.8718
5.0,0.02250000000000001,0.9035
5.0,0.13368055555555558,-0.9112
2.0,-0.11666666666666665,-0.9109
1.0,0.4,0.2023
2.0,0.0,-0.6597
2.0,-0.025,0.1531
2.0,-0.25416666666666665,-0.6369
2.0,0.044836093857832986,0.8203
1.0,0.012499999999999983,0.8566
2.0,0.20000000000000004,0.8062
2.0,0.0,0.5267
1.0,-0.3933333333333333,0.5848
2.0,-0.07013888888888888,0.7395
5.0,0.4222222222222222,-0.296
2.0,0.26136363636363635,0.7498
5.0,0.16875,0.9638
5.0,0.375,0.1531
5.0,0.08611111111111111,0.836
5.0,0.23265306122448978,0.8979
2.0,-0.23125,-0.5859
1.0,-0.1,-0.6124
4.0,0.25,-0.0187
3.0,0.28171296296296294,0.9374
1.0,-0.15833333333333335,-0.7149
2.0,0.11875,-0.4753
1.0,0.0,0.0
1.0,0.0,0.0
5.0,0.0062500000000000056,0.3384
4.0,0.049206349206349205,-0.2263
2.0,0.07142857142857144,-0.1742
2.0,0.25666666666666665,0.34
5.0,-0.12222222222222223,-0.4728
2.0,0.15833333333333333,0.5801
1.0,0.0,0.0
4.0,-0.03333333333333333,0.7534
2.0,0.0712406015037594,0.1847
3.0,0.0062500000000000056,-0.7134
2.0,-0.0125,-0.3919
2.0,0.11488095238095238,-0.9061
2.0,0.2785714285714285,0.6444
4.0,0.3033333333333333,0.4927
5.0,0.7,0.4404
4.0,0.26666666666666666,0.6833
3.0,0.7,0.4404
5.0,0.0,0.0
3.0,-0.022222222222222216,-0.4389
1.0,0.07574404761904761,0.0516
3.0,-0.35555555555555557,-0.7102
2.0,0.1,0.7384
2.0,0.5,0.7296
4.0,0.25,0.8055
1.0,0.0,-0.6896
4.0,0.5166666666666667,0.9455
3.0,0.2857142857142857,-0.7964
5.0,0.0,0.3412
4.0,0.21363636363636362,0.875
4.0,-0.15185185185185185,0.3591
2.0,0.21666666666666667,-0.0521
3.0,0.0,-0.631
3.0,0.0,0.0
5.0,-0.11833333333333336,-0.6791
2.0,0.4,0.2732
1.0,0.0,0.0
2.0,0.0,0.0
2.0,-0.7,-0.5719
2.0,-0.010317460317460309,-0.2516
2.0,-0.21558441558441563,-0.8221
2.0,-0.7,-0.8338
5.0,0.24374999999999997,0.1263
3.0,0.0,-0.296
2.0,0.15,-0.0883
2.0,-0.019583333333333335,-0.2003
2.0,-0.6,-0.7096
2.0,0.0,0.0
4.0,0.09999999999999998,0.0258
4.0,0.0,0.0
2.0,0.0,-0.0762
2.0,-0.6666666666666666,0.2263
5.0,-0.03333333333333333,-0.5733
5.0,0.5,0.0
2.0,0.17500000000000002,0.0
5.0,0.07272727272727272,0.128
5.0,0.225,0.0
5.0,0.0,0.0
3.0,0.2,-0.7684
5.0,0.1571428571428571,0.9035
3.0,-0.06041666666666667,0.5423
2.0,0.3055555555555555,0.7992
4.0,0.0666666666666667,0.8166
5.0,0.046309523809523814,-0.7106
5.0,0.3111111111111111,0.0
1.0,-0.18333333333333335,-0.9805
5.0,0.0625,-0.6705
2.0,0.8,0.5719
5.0,0.13240740740740742,-0.0258
5.0,-0.015151515151515152,0.5267
1.0,0.0,-0.0572
3.0,0.25,0.9782
3.0,0.012180243998425816,-0.0414
2.0,0.19999999999999998,-0.5994
2.0,-0.14375,0.3818
1.0,-0.7999999999999999,-0.6124
2.0,0.0,0.0
2.0,0.0,0.3612
3.0,0.1747933884297521,0.7075
4.0,0.0,0.0
3.0,0.16458333333333336,0.6605
2.0,-0.02500000000000001,0.9078
2.0,0.1464285714285714,0.743
3.0,0.725,0.7717
2.0,0.3111111111111111,0.7227
2.0,0.15,0.6249
2.0,0.45,0.9528
3.0,0.0,-0.2263
3.0,0.03333333333333333,0.7096
3.0,0.8,-0.3814
2.0,0.020833333333333356,0.34
2.0,0.10888888888888888,-0.5106
4.0,0.2833333333333334,0.8338
5.0,0.21944444444444441,0.296
2.0,0.125,-0.0258
4.0,-0.05987654320987653,0.7351
2.0,0.2,0.0
2.0,-0.16666666666666666,0.0
3.0,1.0,0.6808
2.0,-0.033835807050092766,-0.2846
2.0,0.05555555555555556,0.0
3.0,0.19999999999999998,0.25
3.0,0.25,0.0
3.0,0.2759259259259259,0.8456
4.0,0.27222222222222225,0.7956
4.0,0.10500000000000002,-0.8573
5.0,0.016666666666666666,0.4767
5.0,0.3,0.8625
5.0,0.1,0.2675
2.0,-0.06428571428571428,0.5023
1.0,-0.07500000000000001,-0.7184
2.0,-0.0774621212121212,-0.9584
3.0,0.11666666666666665,0.3612
3.0,0.07999999999999999,0.8402
1.0,-0.2,-0.6486
2.0,0.33061224489795915,-0.8637
2.0,-0.4,-0.6369
5.0,0.175,-0.4019
1.0,0.0,-0.4019
2.0,-0.13888888888888887,0.6108
4.0,0.00833333333333334,-0.1601
2.0,0.08333333333333334,-0.296
2.0,-0.09375,0.0
1.0,-0.4458333333333333,-0.6369
1.0,0.37777777777777777,-0.296
5.0,0.5,-0.296
1.0,0.37878787878787873,0.5423
1.0,-0.5,-0.0772
5.0,0.8,0.5859
2.0,0.05,0.0
3.0,0.0,0.0
3.0,0.0,0.0
3.0,0.09722222222222222,0.0
2.0,0.5,-0.5859
3.0,-0.21428571428571427,-0.0644
2.0,0.03333333333333333,0.8126
5.0,0.2222222222222222,0.0
4.0,0.0,0.3182
3.0,0.0,0.0
1.0,0.22499999999999998,-0.34
1.0,0.0,0.0
5.0,0.5,0.3321
4.0,0.25,-0.4588
2.0,0.15,0.6652
2.0,0.0,0.0
4.0,0.25,0.0
2.0,0.08333333333333333,-0.2411
4.0,0.0,0.0
5.0,0.0,-0.6444
2.0,0.19166666666666665,-0.2259
1.0,-4.625929269271485e-18,0.2023
4.0,0.31,0.8735
3.0,0.05,0.0
2.0,0.04761904761904761,-0.7283
1.0,0.0,0.0
2.0,-0.15555555555555556,-0.0859
5.0,-0.07777777777777778,0.0
5.0,-0.3,0.4724
2.0,0.0,0.0
4.0,0.31249999999999994,0.4404
3.0,0.044444444444444446,-0.8496
4.0,0.13087121212121214,0.8794
5.0,0.053125,0.8248
5.0,-0.10022321428571429,-0.296
4.0,0.027561909416748118,-0.8968
3.0,0.10666666666666666,-0.3804
2.0,-0.012499999999999997,0.0
5.0,0.15639097744360902,0.9675
2.0,0.1547348484848485,0.9226
2.0,-0.04907852564102565,-0.8971
2.0,0.03541666666666667,0.4057
4.0,0.047500000000000014,0.5574
2.0,0.3666666666666667,-0.3182
5.0,0.030357142857142857,0.7852
2.0,0.0178030303030303,0.825
2.0,0.0,0.0
4.0,0.042499999999999996,-0.6486
3.0,0.032,0.0
2.0,-0.17500000000000002,-0.4767
1.0,-0.03729166666666669,0.3182
4.0,0.024715909090909087,0.5859
5.0,0.0,0.2584
1.0,0.7,0.4404
5.0,-0.03952380952380953,-0.0
1.0,-0.25,0.3612
5.0,0.22916666666666666,0.9661
1.0,0.06874999999999998,0.6808
2.0,0.5,0.2617
4.0,0.1357142857142857,0.9201
5.0,0.12875,-0.2701
1.0,0.037084942084942084,0.9878
3.0,1.0,-0.2259
2.0,-0.25,0.0
3.0,0.5,0.3612
2.0,0.06666666666666665,0.4919
1.0,-0.1875,0.2473
1.0,-0.3,0.0
2.0,-0.07500000000000001,-0.6643
1.0,-0.395,0.128
1.0,0.0,0.0
3.0,0.0,0.0
2.0,-0.20859375,0.3595
3.0,0.0,0.3818
5.0,-0.125,-0.2263
5.0,-0.4,-0.6597
3.0,0.7,0.0772
2.0,0.5,-0.5815
4.0,0.0,-0.5719
3.0,-0.05,-0.3584
2.0,-0.15,0.9136
1.0,-0.20089285714285715,0.0
1.0,0.0,0.0
3.0,0.0,0.0
3.0,-0.2,-0.5255
2.0,-0.203125,0.0
3.0,0.0,0.4389
3.0,0.0,0.4019
5.0,0.0,0.1027
3.0,0.0,0.0
5.0,0.0,0.0
3.0,0.10833333333333332,-0.257
2.0,0.103125,0.9285
5.0,0.0,0.0
2.0,-0.041666666666666664,-0.5733
2.0,-0.10833333333333334,0.5213
3.0,0.7366666666666667,0.7178
2.0,0.03214285714285714,0.1114
