sentiment-bertmulti,sentiment-textblob,sentiment-vader
2.0,0.025,0.0
2.0,0.08222222222222222,0.1531
2.0,-0.2,0.2598
2.0,0.11388888888888889,0.7964
3.0,-0.008522727272727274,0.836
4.0,0.3833333333333333,0.886
3.0,0.0,-0.128
1.0,0.1,0.0
4.0,-0.15714285714285714,-0.4767
5.0,0.5,0.7088
4.0,0.0,0.6369
2.0,0.0,0.0
1.0,0.4,-0.2263
3.0,0.1,-0.5423
5.0,-0.16999999999999998,-0.4404
2.0,0.16333333333333333,-0.34
2.0,-0.25,-0.7579
2.0,0.225,-0.4404
4.0,-0.03333333333333333,-0.2732
1.0,0.0,-0.2732
2.0,0.0,0.0
3.0,0.049999999999999996,0.4019
1.0,0.16285714285714287,0.0905
5.0,-0.30000000000000004,0.2235
2.0,0.0,0.0
5.0,0.15133333333333335,0.2677
4.0,0.21607142857142858,0.836
2.0,0.05000000000000001,0.7332
1.0,-0.25,-0.4767
5.0,0.15833333333333333,0.0
5.0,0.26785714285714285,0.4404
3.0,-0.21770833333333328,-0.6124
4.0,-0.1416666666666667,-0.5994
4.0,0.32,0.8115
3.0,0.16428571428571428,0.6297
2.0,0.10238636363636364,0.8172
2.0,0.3727972027972028,0.9673
2.0,0.2708333333333333,0.4754
3.0,0.025,0.0
3.0,0.6,0.0
3.0,0.17500000000000002,0.4945
4.0,-0.005350378787878789,0.0635
3.0,0.0,0.0
2.0,0.0042735042735042705,-0.3182
3.0,-0.125,0.8225
3.0,-0.05681818181818182,0.4497
4.0,-0.10153061224489797,0.6913
5.0,0.23717532467532468,0.8607
2.0,0.27363945578231297,0.9764
5.0,0.0,0.4199
5.0,0.0,0.0
4.0,0.05,0.902
4.0,0.36500000000000005,0.9245
5.0,0.75,0.5719
2.0,0.016666666666666666,0.0
2.0,0.125,0.2579
2.0,-0.11111111111111112,0.7357
1.0,0.0,0.0
2.0,-0.05185185185185185,-0.4678
4.0,0.3578125,0.9834
2.0,0.016666666666666666,-0.8176
5.0,0.19,0.9169
2.0,0.0,0.4767
1.0,0.03333333333333333,-0.7904
2.0,0.11666666666666665,0.483
1.0,0.04375,0.6705
1.0,-0.054017857142857145,-0.791
2.0,0.1875,0.4576
4.0,0.0,0.0
4.0,0.8,0.7684
1.0,0.19795918367346937,-0.6213
3.0,0.0,0.0
1.0,0.0,0.0
3.0,-0.25,-0.6673
2.0,0.08812500000000001,-0.2819
4.0,0.0,0.6652
4.0,0.0,0.0
2.0,-0.17291666666666666,-0.5904
2.0,0.24027777777777773,0.9655
5.0,0.21875,0.9684
5.0,0.375,0.0
5.0,0.0,0.836
5.0,0.15219780219780218,0.9638
2.0,0.31666666666666665,0.6901
4.0,0.05619658119658118,0.9204
3.0,-0.07777777777777778,0.296
2.0,0.0,0.0
2.0,0.25,0.4575
1.0,0.04196428571428571,-0.8221
1.0,-0.2,-0.4019
2.0,0.0062500000000000056,0.0
1.0,-0.109375,-0.7949
1.0,0.3833333333333333,0.9494
3.0,0.24062499999999998,0.6808
3.0,0.65,0.7902
2.0,0.3333333333333333,0.4767
2.0,0.25,0.765
3.0,0.5,0.9231
2.0,0.03333333333333333,0.0
2.0,0.03333333333333333,0.8126
3.0,1.0,-0.5088
2.0,0.08333333333333336,0.34
2.0,0.175,-0.1531
3.0,0.07500000000000001,0.8047
5.0,0.15000000000000002,0.0516
5.0,0.22499999999999998,0.0258
5.0,0.05833333333333335,0.7579
3.0,0.24625000000000002,0.6915
3.0,0.39,-0.7717
1.0,-0.4,-0.4767
5.0,0.13636363636363635,-0.5994
5.0,-0.125,0.0
1.0,-0.35,-0.3612
2.0,-0.13888888888888887,0.6234
3.0,0.0,-0.4404
2.0,0.0,0.0
2.0,-0.02380952380952382,-0.6808
5.0,0.13333333333333333,0.4767
2.0,0.0,0.0
2.0,-0.07777777777777778,-0.6249
5.0,-0.07777777777777778,0.0
5.0,-0.033333333333333326,-0.5994
1.0,0.0,0.0
5.0,0.25625,0.4404
2.0,-0.010185185185185183,-0.9153
5.0,0.225,-0.8756
5.0,0.09702380952380953,0.8497
5.0,-0.0031250000000000167,0.6808
5.0,0.05090909090909091,0.6705
4.0,0.21530729371638466,0.7109
4.0,0.0,-0.25
2.0,-0.057407407407407414,-0.6956
2.0,0.1375,-0.3103
2.0,0.0,0.2732
2.0,-0.06999999999999999,0.0772
2.0,0.3,-0.5574
1.0,-0.01875,0.7543
2.0,-0.03728354978354979,-0.1272
2.0,-0.16666666666666666,0.0
3.0,0.016666666666666663,-0.6486
4.0,0.032040816326530615,0.2235
4.0,-0.0625,-0.0516
1.0,0.0,-0.4939
1.0,-0.1376851851851852,-0.5286
5.0,0.05000000000000002,0.8126
4.0,0.19378306878306878,0.7003
1.0,-0.1875,0.3612
4.0,0.3039772727272727,0.9771
1.0,-3.700743415417188e-17,-0.2617
4.0,0.06666666666666668,0.7462
5.0,0.25,0.918
5.0,0.2,-0.6249
3.0,0.4,0.0475
1.0,0.09318181818181817,0.9658
4.0,0.28425,0.9011
3.0,0.08333333333333333,0.7269
3.0,0.5,0.2732
3.0,-0.125,0.0
5.0,0.0,0.3612
3.0,0.7,0.2732
1.0,-0.4,-0.5255
1.0,0.0,0.0
2.0,0.00416666666666667,0.3989
1.0,0.0,0.0
2.0,-0.025,-0.2263
5.0,0.09999999999999998,0.4404
1.0,0.0,0.0
1.0,0.14285714285714285,0.0
3.0,-0.5,-0.4215
5.0,-0.1,0.7335
1.0,0.0,0.0
5.0,0.0,0.5719
5.0,-0.125,0.4588
5.0,0.14999999999999997,-0.5859
3.0,0.0,-0.5499
1.0,0.5,-0.5815
3.0,0.0,-0.34
5.0,0.25,0.0
3.0,0.3,-0.2142
3.0,0.0,0.0
3.0,-0.5,0.128
1.0,-0.38,0.51
1.0,-0.043750000000000004,0.4019
1.0,0.3,0.2263
3.0,0.0,0.0
3.0,0.5,0.5719
1.0,-0.4,-0.5255
1.0,0.0,0.0
3.0,-0.203125,0.0
5.0,0.0,0.0
5.0,0.0,0.0
5.0,0.0,0.3818
5.0,0.0,0.1759
3.0,0.0,0.0
5.0,-0.3125,0.0
3.0,0.02407407407407407,-0.0077
1.0,-0.0001893939393939522,0.6588
5.0,0.625,0.2714
3.0,0.0,-0.5938
4.0,-0.10833333333333334,0.2263
4.0,0.566857142857143,0.5423
1.0,0.09107142857142858,0.5057
1.0,-0.45,-0.5267
